,Model Name,Product URL,Filename,Company,Type,Category Tags,Width (cm),Height (cm),Origin Country,Application
432,DXP  1366K,https://sg.lamitak.com/inspirations/industrial/mateo-l-ametlla,dxp_1366k_mateo_l_ametlla_4x8_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
433,DXP  1368K,https://sg.lamitak.com/inspirations/industrial/santino-l-ametlla,dxp_1368k_santino_l_ametlla_4x8_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
434,DXN 4330M,https://sg.lamitak.com/caden-tobias-steel,dxn_4330m_caden_tobias_steel_4x8_base_thumbnail.jpg,lamitak,Laminate,", Matt Finish",None,None,None,Carpentry
435,DXN 4328M,https://sg.lamitak.com/austin-tobias-steel,dxn_4328m_austin_tobias_steel_4x8_base_thumbnail.jpg,lamitak,Laminate,", Matt Finish",None,None,None,Carpentry
436,DXN 4329M,https://sg.lamitak.com/bryson-tobias-steel,lamitak_dxn_4329m_bryson_tobias_steel_4x8_thumbnail.jpg,lamitak,Laminate,", Matt Finish",None,None,None,Carpentry
437,DXP 5345XM,https://sg.lamitak.com/catalog/product/view/id/14222/s/cato-steel/category/318/,dxp_5345xm_cato_steel_thumbnail_1.jpg,lamitak,Laminate,", Supermatt Finish",None,None,None,Carpentry
438,DXP 5344XM,https://sg.lamitak.com/catalog/product/view/id/14220/s/cassius-steel/category/318/,dxp_5344xm_cassius_steel_4x8_base_thumbnail.jpg,lamitak,Laminate,", Supermatt Finish",None,None,None,Carpentry
439,DXP 5346XM,https://sg.lamitak.com/catalog/product/view/id/14218/s/cyprian-steel/category/318/,dxp_5346xm_cyprian_steel_thumbnail_1.jpg,lamitak,Laminate,", Supermatt Finish",None,None,None,Carpentry
440,DXP 5359XM,https://sg.lamitak.com/caldo-steel,lamitak_-_caldo_steel_dxp_5359xm_thumbnail.jpg,lamitak,Laminate,", Supermatt Finish",None,None,None,Carpentry
441,DXO 5340D,https://sg.lamitak.com/stoffa-nero,dxo_5340d_stoffa_nero_thumbnail.jpg,lamitak,Laminate,", Dri-matt® Finish",23,44,None,Carpentry
442,DXO 5339D,https://sg.lamitak.com/stoffa-moca,dxo_5339d_stoffa_moca_thumbnail_1.jpg,lamitak,Laminate,", Dri-matt® Finish",23,44,None,Carpentry
443,DXO 5337D,https://sg.lamitak.com/stoffa-crema,dxo_5337d_stoffa_crema_thumbnail.jpg,lamitak,Laminate,", Dri-matt® Finish",23,44,None,Carpentry
444,DXO 5338D,https://sg.lamitak.com/stoffa-grigio,dxo_5338d_stoffa_grigio_thumbnail.jpg,lamitak,Laminate,", Dri-matt® Finish",23,44,None,Carpentry
445,DXO 4323X,https://sg.lamitak.com/sullivan-faux-denim,dxo_4323x_sullivan_faux_denim_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
446,DXO 4322X,https://sg.lamitak.com/gillian-faux-denim,dxo_4322x_gillian_faux_denim_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
447,DXO 4310X,https://sg.lamitak.com/catalog/product/view/id/13581/s/faux-denim/category/318/,dxo_4310x_faux_denim_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
448,DXO 4325X,https://sg.lamitak.com/rowan-faux-denim,dxo_4325x_rowan_faux_denim_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
449,DXO 1349DC,https://sg.lamitak.com/koto-kuroki,dxo_1349dc_koto_kuroki_thumbnail.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
450,DXO 1351DC,https://sg.lamitak.com/kenji-kuroki,dxo_1351dc_kenji_kuroki_thumbnail.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
451,DXO 1350DC,https://sg.lamitak.com/kobe-kuroki,dxo_1350dc_kobe_kuroki_thumbnail.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
452,DXO 1385DC,https://sg.lamitak.com/kiri-kuroki,lamitak_-_kiri_kuroki_dxo_1385dc_thumbnail.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
453,DXO 1344DC,https://sg.lamitak.com/drayden-pashley,dxo_1344dc_drayden_pashley_thumbnail.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
454,DXO 1343DC,https://sg.lamitak.com/connor-pashley,dxo_1343dc_connor_pashley_thumbnail_1.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
455,DXO 1341DC,https://sg.lamitak.com/aiden-pashley,dxo_1341dc_aiden_pashley_thumbnail.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
456,DXO 1342DC,https://sg.lamitak.com/brandon-pashley,dxo_1342dc_brandon_pashley_thumbnail_1.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
457,DXO 5355D,https://sg.lamitak.com/camden-feltro,dxo_5355d_camden_feltro_4x8_base_thumbnail.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
