,Application,Category Tags,Color B,Color Code,Color G,Color R,Company,Model Name,Model Number,Origin Country,Product URL,Type,Filename
36,Wall,,226.0,#E8E7E2,231.0,232.0,Nippon,Soft Touch,NP OW 2149 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2149-p/soft-touch,Paint,NP OW 2149 P.png
37,Wall,,227.0,#E9E6E3,230.0,233.0,Nippon,Falling Snow,NP OW 2150 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2150-p/falling-snow,Paint,NP OW 2150 P.png
38,Wall,,232.0,#EAE8E8,232.0,234.0,Nippon,Sparkling Water,NP OW 2151 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2151-p/sparkling-water,Paint,NP OW 2151 P.png
39,Wall,,232.0,#EAE9E8,233.0,234.0,Nippon,Smooth As Silk,NP OW 2152 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2152-p/smooth-as-silk,Paint,NP OW 2152 P.png
40,Wall,,233.0,#E9E9E9,233.0,233.0,Nippon,Pearly Shell,NP OW 2153 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2153-p/pearly-shell,Paint,NP OW 2153 P.png
41,Wall,,231.0,#ECE9E7,233.0,236.0,Nippon,Soft Light,NP OW 2154 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2154-p/soft-light,Paint,NP OW 2154 P.png
42,Wall,,229.0,#E8E7E5,231.0,232.0,Nippon,Soft Beancurd,NP OW 2155 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2155-p/soft-beancurd,Paint,NP OW 2155 P.png
43,Wall,,232.0,#E6E8E8,232.0,230.0,Nippon,Looking Glass,NP OW 2156 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2156-p/looking-glass,Paint,NP OW 2156 P.png
44,Wall,,231.0,#E5E5E7,229.0,229.0,Nippon,Silver Lake,NP OW 2157 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2157-p/silver-lake,Paint,NP OW 2157 P.png
45,Wall,,231.0,#E1E3E7,227.0,225.0,Nippon,Feather White,NP OW 2158 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2158-p/feather-white,Paint,NP OW 2158 P.png
46,Wall,,233.0,#E2E6E9,230.0,226.0,Nippon,Sombre White,NP OW 2159 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2159-p/sombre-white,Paint,NP OW 2159 P.png
47,Wall,,233.0,#ECE9E9,233.0,236.0,Nippon,White Lie,NP OW 2160 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2160-p/white-lie,Paint,NP OW 2160 P.png
48,Wall,,228.0,#E7E6E4,230.0,231.0,Nippon,Leia White,NP OW 2161 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2161-p/leia-white,Paint,NP OW 2161 P.png
49,Wall,,232.0,#EAE8E8,232.0,234.0,Nippon,Winter's Dawn,NP OW 2162 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2162-p/winter's-dawn,Paint,NP OW 2162 P.png
50,Wall,,233.0,#E8E6E9,230.0,232.0,Nippon,Shimmering Gems,NP OW 2163 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2163-p/shimmering-gems,Paint,NP OW 2163 P.png
51,Wall,,218.0,#DDDBDA,219.0,221.0,Nippon,White Lilac,NP OW 1050 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-1050-p/white-lilac,Paint,NP OW 1050 P.png
