,Application,Category Tags,Company,Filename,Height (cm),Model Name,Origin Country,Product URL,Type,Width (cm)
21,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V1)",Hafary,evo-smoke-rec_r-500-500-60-user-data-collections-4006-21953-1713929208.jpg,300,Evo Smoke Rec,Spain,https://www.hafary.com.sg/collection/Tiles/Fanal-Evo-Smoke-Rec-4006?image=21953,Tiles,600
22,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V1)",Hafary,evo-tatami-coal-lap_r-500-500-60-user-data-collections-4006-21954-1713929209.jpg,300,Evo Tatami Coal Lap,Spain,https://www.hafary.com.sg/collection/Tiles/Fanal-Evo-Tatami-Coal-Lap-4006?image=21954,Tiles,600
23,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V1)",Hafary,evo-tatami-grey-lap_r-500-500-60-user-data-collections-4006-21955-1713929210.jpg,300,Evo Tatami Grey Lap,Spain,https://www.hafary.com.sg/collection/Tiles/Fanal-Evo-Tatami-Grey-Lap-4006?image=21955,Tiles,600
24,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V1)",Hafary,evo-tatami-sand-lap_r-500-500-60-user-data-collections-4006-21956-1713929211.jpg,300,Evo Tatami Sand Lap,Spain,https://www.hafary.com.sg/collection/Tiles/Fanal-Evo-Tatami-Sand-Lap-4006?image=21956,Tiles,600
25,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V1)",Hafary,evo-tatami-smoke-lap_r-500-500-60-user-data-collections-4006-21957-1713929212.jpg,300,Evo Tatami Smoke Lap,Spain,https://www.hafary.com.sg/collection/Tiles/Fanal-Evo-Tatami-Smoke-Lap-4006?image=21957,Tiles,600
26,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,ston-4-0-stone-01-hglo-rt_r-500-500-60-user-data-collections-4005-21943-1713763268.jpg,1200,Ston 4.0 Stone 01 HGlo Rt,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Ston-4.0-Stone-01-HGlo-Rt-4005?image=21943,Tiles,2800
27,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,ston-4-0-stone-01-hglo-rt_r-500-500-60-user-data-collections-4005-21944-1713763269.jpg,1200,Ston 4.0 Stone 01 HGlo Rt,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Ston-4.0-Stone-01-HGlo-Rt-4005?image=21944,Tiles,2800
28,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,ston-4-0-stone-01-nat-ret_r-500-500-60-user-data-collections-4005-21945-1713763270.jpg,1200,Ston 4.0 Stone 01 Nat Ret,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Ston-4.0-Stone-01-Nat-Ret-4005?image=21945,Tiles,2800
29,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,ston-4-0-stone-02-nat-ret_r-500-500-60-user-data-collections-4005-21946-1713763307.jpg,1200,Ston 4.0 Stone 02 Nat Ret,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Ston-4.0-Stone-02-Nat-Ret-4005?image=21946,Tiles,2800
30,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,ston-4-0-stone-02-nat-ret_r-500-500-60-user-data-collections-4005-21947-1713763308.jpg,1200,Ston 4.0 Stone 02 Nat Ret,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Ston-4.0-Stone-02-Nat-Ret-4005?image=21947,Tiles,2800
