Name,Color 1,Color 2,Color 3,Color 4
Attention to Details,#EEDEE0,#F87DB0,#EF5C90,#BC2D40
Citrus Treats,#787D12,#567C09,#BCC41C,#EBF094
Autumn Skyline,#DC7726,#ECC046,#F5F7ED,#42C0D2
Sunlit Day Out,#DDDBDB,#EEA5A6,#9E968E,#FBC99C
College Daze,#FFBF90,#F36870,#CED6CA,#FFF5D7
Pops of Blush,#EA3160,#142B70,#E99EB0,#4652A0
Memory Box,#6D3D38,#E9DAC4,#E0AC8E,#514843
Sweet Toppings,#13C3F7,#FF2768,#E9E9E7,#FFF387
Grained Memories,#040A18,#0B1C47,#F5F5E9,#873F49
Perfect Beach Vistas,#008FDE,#A4D8FB,#38CCED,#9571AB
Take a Break,#654E30,#527640,#212510,#1A3315
Fog Over Water,#23424A,#65A9A6,#ECECEB,#3B707D
Calming View,#D5D5C0,#4DDDE0,#31CCE0,#1DB3C0
On Thick Ice,#E3EFF9,#AACDE5,#6CC4DC,#3F92B7
Coffee Craving,#DFD6D1,#1F232C,#FFFFFF,#83746E
Sky Balloons,#1848A0,#47D8E0,#59CEE0,#2692D0
Pinch of Lime,#F8FFCA,#B6D084,#FFCB32,#2F7604
Carnation Petals,#F7CBCA,#EC6964,#F18370,#721816
Floral Dazzle,#C9D9F0,#8155BA,#FEC437,#FE5BD6
Fall Fire,#F1D26C,#2B1200,#CF5C00,#8D1E00
Waterside Retro,#130170,#CDF4DC,#01949A,#CD0046
Painting with Light,#000C20,#EF3340,#F1B420,#FFFAE0
Paper Cities,#201A1E,#D0B49F,#E4D4C8,#E2E6E7
Neon Bikini,#7268B0,#DC8CB0,#2DD220,#E721A0
Head-to-toe Flush,#F5D5E4,#E66579,#FCC0C5,#F7E7CE
Four-layered Cake,#BF8422,#361B28,#BC9C22,#B6CCD7
Dazzling Style,#E928A0,#271140,#3CBED0,#E6D350
Squishy Toes,#E8C6AE,#D4C7AF,#BDB8B6,#807672
Winter Overture,#00264C,#36454F,#A3ABB0,#D4D0D0
Sweet Crowning Glory,#222C45,#9EBFCF,#8E7B96,#EED6D3
Wild Cherry Blossom,#9782AD,#F05B06,#F3B9DF,#9D1B6F
Oven-baked Chocolate Chip,#C3A57C,#C1937D,#C1B199,#DED8CD
Summer Cocktails,#65D4EE,#9DE89C,#FAC12F,#CFE9EF
Close of Day,#203946,#778D99,#C6AE96,#FF9936
The Ripe Time,#EBE99E,#8BCA67,#F9D976,#055816
Creative Cupcakes,#FD7924,#57A5B8,#E21B32,#ECEF5B
Tropical Sweetheart,#DCA7A0,#165C40,#E17A82,#8CC7C0
Bright and Bold,#5BDCE1,#E73BA5,#F4975B,#F9D8CE
Finally Opened Up,#590C69,#4A0D4A,#D19FC6,#398FC7
Chill Dawn,#5B5C50,#1B1E1E,#C2AD90,#E4DCC0
Neon Glam Madam,#4C3260,#E43480,#EAD4C0,#F43AB0
Melted Chocolate,#252827,#FFFEE6,#291211,#F8CF2C
Sliced Citrus,#E35A01,#4C7C71,#2E4769,#1F262E
Cheer Me Up,#4E514E,#988C80,#E0A39F,#F9EBE1
Candy Skyline,#DCF2F0,#FFE65B,#FAD7F3,#66B8C9
Hot Chili Peppers,#686361,#E32227,#1A7CFA,#0070E0
Before Nightfall,#8EB7CE,#54627B,#A2BEEF,#FBB2A3
Autumn Squash,#B14100,#E39E30,#8A5920,#8FAE70
Empty Auditorium Seats,#1E1200,#8B8060,#FDFFF0,#970C10
Ice Cold Rosé,#EFEAE0,#E98FC0,#9E8F90,#CD6090
Warm Shadows,#603840,#BD8990,#9F94A0,#B7D0E0
Morning Dew,#028476,#015D53,#030303,#6ECB5A
Communing with Nature,#E4D7CF,#8A3240,#617969,#98705D
Birthday Cake,#FBDFA0,#FFC2C7,#5DD9FB,#BBD5D2
Feminine Bow Tie,#874A5B,#232425,#E3CDBC,#AFB2AE
Nightfall Ambiance,#003D7A,#051537,#04247C,#0458AB
Wealth of Nuts,#A4AA83,#D8DDB8,#4C411A,#F3EED9
Pastel Vacation,#FDBFAF,#FCEE96,#7EB6D7,#4D5264
Lit by Candles,#474241,#CDA67A,#A7A88A,#D0CCB9
Mulberry Smoke,#2B192E,#F5E8DA,#50006C,#CE8CA5
Cuddle Weather,#383940,#A98AB0,#F1F1F0,#ADA9AD
Tulip Meadow,#FAD02C,#E12A2A,#469A49,#192A29
Rosy Lavender,#B80454,#1D190A,#B175FF,#DCBCD0
Sun and Sand,#FFFFFF,#F7E7CE,#A2A3AA,#AA9C92
Bright Northern Lights,#117660,#09323B,#04B16F,#14E114
Summer Soft,#B46490,#E3D9E0,#F1ECD0,#634F50
Midnight Swim,#08153A,#0B1F65,#2535D9,#C08D2C
Dessert Deluxe,#EDE5E1,#95675B,#C6A590,#D4AC74
Retro Road Trip,#7A403E,#9F2B00,#F89700,#D8CD9D
Dusty Rose,#592F2D,#402220,#B5605C,#EEB4A4
Morning Ritual,#A9BA88,#D9C6BF,#F6F0E7,#6D6F73
Vanilla Amandine,#7A3E26,#CF6856,#F7E7CE,#FFFFFF
New Wave,#E80000,#1E73BE,#C850B0,#660A60
Pure Olive Oil,#DDB040,#D1B780,#E3E5E0,#464239
Captivating Cupcake,#E6BDCC,#ECEADB,#A3768B,#DEBAD6
Springtime Sports,#E5E1D9,#DAA7A2,#A7A88A,#37391E
Evening Stroll,#A2C4E0,#F7CB2D,#071330,#122E76
Bunch of Blueberries,#192740,#4B6D90,#85AED0,#B8D1E0
Sugar Rosettes,#FFBBCA,#ECFDF1,#B4F8C8,#EFEDC6
Morning Breeze,#9DCED0,#A98AB0,#F0F1CF,#8EA350
Violet Ice Cream,#287686,#DFD1A9,#C79FA7,#603F8B
Concert Lights,#40B5F0,#2144C0,#142270,#030303
Desert Blooms,#343920,#F8F9F7,#71743A,#D5BA90
Deeper Waves,#00BFD6,#CADFD9,#8BD1E4,#00B5A2
Popping Colors,#07D2BE,#F24E70,#B4F8C8,#0F1300
Waiting Seagull,#74B2D0,#FFF593,#F36870,#FAFAF0
Splash Up Shore,#3E4B59,#87939E,#FD9096,#D6F7F8
Comfort Coffee Cup,#806460,#D4CBC0,#A1AEA0,#704F70
Carnival of Feathers,#E2B327,#4693B8,#0B1F65,#E1D9D1
Tinted Glass,#D6E2E8,#91C1D8,#0070AC,#003371
Juicy Slices,#FFDA77,#F1AFC0,#0696B0,#D83471
All Star Classic,#4B443C,#4D0011,#232425,#E4E5E8
Tropical Sunset Paradise,#F1B416,#E56A19,#000000,#900000
Sailor's Delight,#000000,#3A4968,#FF4500,#0087CA
Ocean Meets Sky,#98D7C2,#A1A3A5,#05ABC4,#0490AE
Shoot for the Stars,#DD819C,#3B1F52,#1E142B,#A05987
Curve of Water,#04425B,#BBCBBE,#16796F,#10564F
Succulent Garden,#04DC77,#016236,#B6D2A5,#D89384
Tidal Wave,#CFE0EA,#01949A,#578384,#016367
Lily Leap,#40C69F,#2E765E,#D62B83,#05234C
Relaxed Retro,#CCA78A,#EEEEEE,#DCB4B1,#BDF0D6
Candy Style,#5558D8,#D4BBDD,#FBD3DA,#8ADFE3
Breakfast Mocha,#F3E5C3,#D3A771,#CFC0AE,#694532
Fresh Succulent,#13292A,#91CABE,#499FA4,#B5DFD6
Rich Farm Picks,#9ABA12,#37520B,#DEE64C,#66930C
Pine View,#606462,#EDF0EE,#00735C,#00493A
Blush of Trees,#E5A298,#C1D9B7,#2C7721,#00E091
Buildings in Winter,#BED1DF,#546E81,#001F3D,#9CB9CC
Firey Cracked Earth,#499FA4,#A9582B,#BA9973,#EDDF9C
Lilac Shimmer,#3E004A,#ADE292,#4120A9,#7800A2
Marbled Blue Easter Eggs,#ADC8D2,#9F9C93,#54627B,#F4F4F6
Steadfast Stainless,#091235,#14202E,#2B4257,#88A9C3
Wheat in Wind,#C98169,#E0EBE5,#B8DDD6,#E6B794
Chocolate Mousse,#65463E,#B99A87,#C9BEB1,#EBEBE5
Very Berry,#9D5060,#E7DFE0,#376380,#2D1F30
Love and Macarons,#490E08,#F1A17E,#F7C9B6,#F7DC6F
Winter Musings,#676E7F,#0F0D12,#F9F6F0,#B6737C
Pastel Bike,#475250,#9589A9,#B5EECB,#F8A2A8
Much Needed Break,#42C3F7,#00A5E9,#003A6B,#E7EDEB
Papery Blossom,#CDCBAF,#5F6510,#723056,#B67C9A
Stretch of Sand,#5CCCCB,#F6F0E7,#1C799E,#908984
Jungle Vibe,#2B8E8E,#73B03A,#5CD85A,#278ED5
Surprising Images,#EED6D3,#69C9BC,#F7BCA5,#F7837C
Wrap Around Style,#0F7D80,#E2BAB0,#FF96B7,#5FD3C8
Endless Cubes,#34DED0,#94FAF0,#3AF7F0,#31D1D0
Fog and Waterfall,#756457,#3B3C38,#D5BBA9,#F1ECE4
San Francisco Mornings,#738580,#3E3E3E,#BFCAD0,#970C10
